,tweet,tweet_id,language,time&date,retweet,reply,likes,quotes
0,Said louder sis ........ no bigbang no life huuuğŸ˜„ğŸ˜„ğŸ˜„ https://t.co/DblRtwpgou,1341381331964456968,en,2020-12-22T13:53:25.000Z,0,0,0,0
1,"@ItsMrsRabbitToU Old saying 
Mostly true 
Variety is the spice of life",1341381331624865795,en,2020-12-22T13:53:25.000Z,0,0,0,0
2,"Day 6 of 7 I have been nominated by @OurBlueLight to produce a picture for 7 days to show my daily life (no people) You have to copy these words, add a picture and repeat the challenge. Today I nominate @BTPRams https://t.co/adMeBgae4V",1341381331331235841,en,2020-12-22T13:53:25.000Z,0,0,0,0
3,"@Mike_Pence  Lord, I pray for the VP.  May You use this holiday time to renew and refresh him and his family.  Work in his life in a mighty way.  Amen!",1341381331264155650,en,2020-12-22T13:53:25.000Z,0,0,0,0
4,Story of my life ğŸ˜”â€¼ï¸ https://t.co/QY9WQ2lV4I,1341381330907631617,en,2020-12-22T13:53:25.000Z,0,0,0,0
5,@maddyeisenberg 5 longest seconds of your life ğŸ¤ª!! Awesome news ğŸ‰,1341381330639183874,en,2020-12-22T13:53:25.000Z,0,0,0,0
6,æƒ£èœã®å‘¼å¸ãŒãƒˆãƒ¬ãƒ³ãƒ‰å…¥ã‚Šã—ã¦ã‚‹ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ï½—ã€€#nhk_life,1341381330462904321,ja,2020-12-22T13:53:25.000Z,0,0,0,0
7,"It's just a bad day, not a bad life.",1341381330349776898,en,2020-12-22T13:53:25.000Z,0,0,0,0
8,@nhk_life_comedy,1341381329607376901,und,2020-12-22T13:53:25.000Z,0,0,0,0
9,"Are you feeling challenged with the demands of work &amp; home? Are you struggling to focus on what is important? This course will help you thrive in everyday life:
#leadership #parenting #burnout #selfcoaching #logosynthesis #wellness @healthylivingp 
https://t.co/hxxHZ8kl1O",1341381328214892544,en,2020-12-22T13:53:24.000Z,0,0,0,0
